Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m		m   	s
88	12	51.99	16	18.21	12	53.80	N	N	N	N	N	N	23	36.64	29	24.12	23	43.01	23	N	N	N
89	12	56.71	16	26.23	12	58.22	N	N	N	N	N	N	23	46.11	29	38.69	23	51.29	23	N	N	N
90	13	1.40	16	34.20	13	2.64	N	N	N	N	N	N	23	55.44	29	53.20	23	59.59	23	N	N	N
91	13	6.05	16	42.15	13	7.07	N	N	N	N	N	N	24	4.64	30	7.66	24	7.89	23	N	N	N
92	13	10.69	16	50.05	13	11.51	N	N	N	N	N	N	24	13.71	30	22.08	24	16.20	23	N	N	N
93	13	15.31	16	57.92	13	15.94	N	N	N	N	N	N	24	22.63	30	36.44	24	24.52	23	N	N	N
94	13	19.91	17	5.76	13	20.38	N	N	N	N	N	N	24	31.43	30	50.74	24	32.84	23	N	N	N
95	13	24.50	17	13.55	13	24.82	N	N	N	N	N	N	24	40.16	31	5.00	24	41.17	24	N	N	N
96	13	29.06	17	21.32	13	29.26	N	N	N	N	N	N	24	48.83	31	19.20	24	49.50	24	N	N	N
97	13	33.60	17	29.04	13	33.71	N	N	N	N	N	N	24	57.46	31	33.35	24	57.84	24	N	N	N
98	13	38.11	17	36.73	13	38.15	N	N	N	N	N	N	25	6.00	31	47.44	25	6.18	24	N	N	N
99	13	42.59	17	44.38	13	42.60	N	N	N	N	N	N	25	14.47	32	1.48	25	14.52	24	N	N	N
100	13	47.04	17	52.00	N	N	N	N	N	N	N	N	25	22.86	32	15.47	25	22.86	24	N	N	N
101	13	51.49	17	59.58	N	N	N	N	N	N	N	N	25	31.20	32	29.40	N	N	24	N	N	N
102	13	55.93	18	7.12	N	N	N	N	N	N	N	N	25	39.54	32	43.28	N	N	24	N	N	N
103	14	0.38	18	14.63	N	N	N	N	N	N	N	N	25	47.88	32	57.10	N	N	24	N	N	N
104	14	4.83	18	22.10	N	N	N	N	N	N	N	N	25	56.22	33	10.87	N	N	24	N	N	N
