Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s
69	11	7	13	39	11	31	999	999	999	999	999	999	20	13	24	39	21	9	21	8	999	999
70	11	13	13	48	11	36	999	999	999	999	999	999	20	25	24	54	21	17	21	16	999	999
71	11	20	13	57	11	40	999	999	999	999	999	999	20	37	25	9	21	25	21	23	999	999
72	11	26	14	5	11	44	999	999	999	999	999	999	20	48	25	25	21	33	21	31	999	999
73	11	32	14	14	11	48	999	999	999	999	999	999	20	60	25	40	21	41	21	38	999	999
74	11	37	14	22	11	53	999	999	999	999	999	999	21	11	25	55	21	49	21	46	999	999
75	11	43	14	31	11	57	999	999	999	999	999	999	21	22	26	10	21	57	21	53	999	999
76	11	49	14	39	12	1	999	999	999	999	999	999	21	33	26	26	22	5	22	1	999	999
77	11	55	14	48	12	6	999	999	999	999	999	999	21	44	26	41	22	13	22	8	999	999
78	12	0	14	56	12	10	999	999	999	999	999	999	21	55	26	56	22	21	22	16	999	999
79	12	6	15	5	12	14	999	999	999	999	999	999	22	6	27	11	22	29	22	23	999	999
80	12	11	15	13	12	19	999	999	999	999	999	999	22	16	27	26	22	37	22	30	999	999
81	12	17	15	21	12	23	999	999	999	999	999	999	22	27	27	41	22	45	22	37	999	999
82	12	22	15	29	12	27	999	999	999	999	999	999	22	37	27	56	22	54	22	43	999	999
83	12	27	15	38	12	32	999	999	999	999	999	999	22	47	28	11	23	2	22	50	999	999
84	12	32	15	46	12	36	999	999	999	999	999	999	22	57	28	25	23	10	22	57	999	999
85	12	37	15	54	12	41	999	999	999	999	999	999	23	7	28	40	23	18	23	3	999	999
86	12	42	16	2	12	45	999	999	999	999	999	999	23	17	28	55	23	26	23	9	999	999
87	12	47	16	10	12	49	999	999	999	999	999	999	23	27	29	10	23	35	23	16	999	999
88	12	52	16	18	12	54	999	999	999	999	999	999	23	37	29	24	23	43	23	22	999	999
89	12	57	16	26	12	58	999	999	999	999	999	999	23	46	29	39	23	51	23	28	999	999
90	13	1	16	34	13	3	999	999	999	999	999	999	23	55	29	53	23	60	23	34	999	999
91	13	6	16	42	13	7	999	999	999	999	999	999	24	5	30	8	24	8	23	39	999	999
92	13	11	16	50	13	12	999	999	999	999	999	999	24	14	30	22	24	16	23	45	999	999
93	13	15	16	58	13	16	999	999	999	999	999	999	24	23	30	36	24	25	23	51	999	999
94	13	20	17	6	13	20	999	999	999	999	999	999	24	31	30	51	24	33	23	56	999	999
95	13	25	17	14	13	25	999	999	999	999	999	999	24	40	31	5	24	41	24	1	999	999
96	13	29	17	21	13	29	999	999	999	999	999	999	24	49	31	19	24	50	24	7	999	999
97	13	34	17	29	13	34	999	999	999	999	999	999	24	57	31	33	24	58	24	12	999	999
98	13	38	17	37	13	38	999	999	999	999	999	999	25	6	31	47	25	6	24	17	999	999
99	13	43	17	44	13	43	999	999	999	999	999	999	25	14	32	1	25	15	24	22	999	999
100	13	47	17	52	999	999	999	999	999	999	999	999	25	23	32	15	25	23	24	27	999	999
101	13	51	17	60	999	999	999	999	999	999	999	999	25	31	32	29	999	999	24	32	999	999
102	13	56	18	7	999	999	999	999	999	999	999	999	25	40	32	43	999	999	24	37	999	999
103	14	0	18	15	999	999	999	999	999	999	999	999	25	48	32	57	999	999	24	41	999	999
104	14	5	18	22	999	999	999	999	999	999	999	999	25	56	33	11	999	999	24	46	999	999
105	14	9	18	30	999	999	999	999	999	999	999	999	26	5	33	25	999	999	24	51	999	999
106	14	14	18	37	999	999	999	999	999	999	999	999	26	13	33	38	999	999	24	55	999	999
107	14	18	18	44	999	999	999	999	999	999	999	999	26	21	33	52	999	999	24	60	999	999
108	14	23	18	52	999	999	999	999	999	999	999	999	26	30	34	5	999	999	25	4	999	999
109	14	27	18	59	999	999	999	999	999	999	999	999	26	38	34	19	999	999	25	8	999	999
110	14	32	19	6	999	999	999	999	999	999	999	999	26	46	34	32	999	999	25	12	25	47
111	14	36	19	13	999	999	999	999	999	999	999	999	26	55	34	46	999	999	25	16	25	49
112	14	40	19	21	999	999	999	999	999	999	999	999	27	3	34	59	999	999	25	21	25	51
113	14	45	19	28	999	999	999	999	999	999	999	999	27	11	35	12	999	999	25	25	25	52
114	14	49	19	35	999	999	999	999	999	999	999	999	27	20	35	26	999	999	25	28	25	54
115	14	54	19	42	999	999	999	999	999	999	999	999	27	28	35	39	999	999	25	32	25	56
116	14	58	19	49	999	999	999	999	999	999	18	45	27	36	35	52	999	999	25	36	25	58
117	15	3	19	56	999	999	999	999	999	999	18	47	27	45	36	5	999	999	25	40	26	0
118	15	7	20	3	999	999	999	999	999	999	18	49	27	53	36	18	999	999	25	43	26	2
119	15	12	20	10	999	999	999	999	999	999	18	51	28	1	36	31	999	999	25	47	26	4
120	15	16	20	17	999	999	999	999	999	999	18	53	28	10	36	44	999	999	25	51	26	6
121	15	20	20	24	999	999	999	999	999	999	18	54	28	18	36	57	999	999	25	54	26	8
122	15	25	20	30	999	999	999	999	999	999	18	56	28	26	37	9	999	999	25	57	26	10
123	15	29	20	37	999	999	999	999	999	999	18	58	28	35	37	22	999	999	26	1	26	11
124	15	34	20	44	999	999	999	999	999	999	19	0	28	43	37	35	999	999	26	4	26	13
125	999	999	20	51	999	999	999	999	999	999	19	2	999	999	37	47	999	999	26	7	26	15
126	999	999	20	57	999	999	999	999	999	999	19	4	999	999	37	60	999	999	26	10	26	17
127	999	999	21	4	999	999	999	999	999	999	19	6	999	999	38	12	999	999	26	13	26	19
128	999	999	21	10	999	999	999	999	999	999	19	8	999	999	38	25	999	999	26	16	26	21
129	999	999	21	17	999	999	999	999	999	999	19	10	999	999	38	37	999	999	26	19	26	23
130	999	999	21	24	999	999	999	999	999	999	19	12	999	999	38	50	999	999	26	22	26	24
131	999	999	21	30	999	999	999	999	999	999	19	14	999	999	39	2	999	999	26	25	26	26
132	999	999	21	36	999	999	999	999	999	999	19	15	999	999	39	14	999	999	26	28	26	28
133	999	999	21	43	999	999	999	999	999	999	19	17	999	999	39	26	999	999	26	30	26	30
134	999	999	21	49	999	999	999	999	999	999	19	19	999	999	39	38	999	999	26	33	26	32
135	999	999	21	56	999	999	999	999	999	999	19	21	999	999	39	50	999	999	26	35	26	33
136	999	999	22	2	999	999	999	999	999	999	19	23	999	999	40	2	999	999	26	38	26	35
137	999	999	22	8	999	999	999	999	999	999	19	25	999	999	40	14	999	999	26	40	26	37
138	999	999	22	14	999	999	999	999	999	999	19	27	999	999	40	26	999	999	26	43	26	39
139	999	999	22	21	999	999	999	999	999	999	19	28	999	999	40	38	999	999	26	45	26	40
140	999	999	22	27	999	999	999	999	999	999	19	30	999	999	40	50	999	999	26	47	26	42
141	999	999	22	33	999	999	999	999	999	999	19	32	999	999	41	1	999	999	26	49	26	43
142	999	999	22	39	999	999	999	999	999	999	19	34	999	999	41	13	999	999	26	52	26	45
143	999	999	22	45	999	999	999	999	999	999	19	36	999	999	41	25	999	999	26	54	26	47
144	999	999	22	51	999	999	999	999	999	999	19	37	999	999	41	36	999	999	26	56	26	48
145	999	999	22	57	999	999	19	38	19	38	19	39	999	999	41	48	999	999	999	999	26	50
146	999	999	23	3	999	999	19	42	19	42	19	41	999	999	41	59	999	999	999	999	26	51
147	999	999	23	9	999	999	19	46	19	45	19	43	999	999	42	10	999	999	999	999	26	53
148	999	999	23	15	999	999	19	50	19	47	19	44	999	999	42	22	999	999	999	999	26	54
149	999	999	23	21	999	999	19	54	19	50	19	46	999	999	42	33	999	999	999	999	26	55
150	999	999	23	26	999	999	19	58	19	52	19	47	999	999	42	44	999	999	999	999	26	57
151	999	999	23	32	999	999	20	2	19	55	19	49	999	999	42	55	999	999	999	999	26	58
152	999	999	23	38	999	999	20	6	19	57	19	51	999	999	43	6	999	999	999	999	26	59
153	999	999	23	44	999	999	20	11	19	59	19	52	999	999	43	17	999	999	999	999	27	0
154	999	999	23	49	999	999	20	15	20	1	19	53	999	999	43	28	999	999	999	999	27	2
155	999	999	23	55	999	999	20	19	20	4	19	55	999	999	43	39	999	999	999	999	27	3
156	999	999	24	0	999	999	20	23	999	999	19	56	999	999	43	50	999	999	999	999	27	4
157	999	999	24	6	999	999	20	28	999	999	19	58	999	999	44	1	999	999	999	999	27	5
158	999	999	24	11	999	999	20	32	999	999	19	59	999	999	44	11	999	999	999	999	27	6
159	999	999	24	17	999	999	20	36	999	999	19	60	999	999	44	22	999	999	999	999	27	7
160	999	999	24	22	999	999	20	41	999	999	20	1	999	999	44	33	999	999	999	999	27	8
161	999	999	24	28	999	999	20	45	999	999	20	2	999	999	44	43	999	999	999	999	27	9
162	999	999	24	33	999	999	20	49	999	999	20	3	999	999	44	54	999	999	999	999	27	9
163	999	999	24	38	999	999	20	54	999	999	20	4	999	999	45	4	999	999	999	999	27	10
164	999	999	24	44	999	999	20	58	999	999	20	5	999	999	45	14	999	999	999	999	27	11
165	999	999	24	49	999	999	21	3	999	999	20	6	999	999	45	25	999	999	999	999	27	12
166	999	999	24	54	999	999	21	7	999	999	20	7	999	999	45	35	999	999	999	999	27	12
167	999	999	24	59	999	999	21	11	999	999	20	8	999	999	45	45	999	999	999	999	27	13
